"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 16:27:19 CST 2022","Tue May 17 16:27:20 CST 2022","130","test_case.test_rider","login_test","Testlogin","","","test_almightycode[caseinfo0]","配置文件的组成：1、section：表示要标记的不同数据的区域 2、option：相当于字典当中的key 3、value：相当于字典当中的value"
"passed","Tue May 17 11:14:06 CST 2022","Tue May 17 11:14:07 CST 2022","423","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_add[caseinfo0]",""
"passed","Tue May 17 11:14:06 CST 2022","Tue May 17 11:14:06 CST 2022","288","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_delete[caseinfo0]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:07 CST 2022","139","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_add[caseinfo3]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:07 CST 2022","138","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_add[caseinfo2]",""
"passed","Tue May 17 11:14:08 CST 2022","Tue May 17 11:14:08 CST 2022","542","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_recharge[caseinfo0]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:07 CST 2022","147","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_list[caseinfo1]",""
"passed","Mon May 16 15:38:47 CST 2022","Mon May 16 15:38:48 CST 2022","155","test_case.test_admin","admin_wallet_add_test","","","","test_adminlogin[caseinfo1]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:20 CST 2022","136","test_case.test_rider","rider_check_username_test","Testrider","","","test_rider_check_username[caseinfo2]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:20 CST 2022","138","test_case.test_rider","login_test","Testlogin","","","test_login[caseinfo1]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:20 CST 2022","142","test_case.test_rider","rider_check_username_test","Testrider","","","test_rider_check_username[caseinfo1]",""
"failed","Tue May 17 16:27:21 CST 2022","Tue May 17 16:27:21 CST 2022","137","test_case.test_rider","rider_check_username_test","Testrider","","","test_rider_cost_user_amount[caseinfo0]",""
"passed","Tue May 17 11:14:05 CST 2022","Tue May 17 11:14:05 CST 2022","146","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_add[caseinfo0]",""
"passed","Tue May 17 11:14:05 CST 2022","Tue May 17 11:14:06 CST 2022","148","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_list[caseinfo2]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:07 CST 2022","134","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_log_list[caseinfo0]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:20 CST 2022","132","test_case.test_rider","rider_check_username_test","Testrider","","","test_rider_check_username[caseinfo0]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:21 CST 2022","139","test_case.test_rider","rider_check_username_test","Testrider","","","test_rider_check_user_amount[caseinfo1]",""
"passed","Tue May 17 11:14:05 CST 2022","Tue May 17 11:14:05 CST 2022","149","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_list[caseinfo0]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:20 CST 2022","155","test_case.test_rider","rider_check_username_test","Testrider","","","test_rider_check_user_amount[caseinfo0]",""
"passed","Tue May 17 11:14:05 CST 2022","Tue May 17 11:14:05 CST 2022","142","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_list[caseinfo1]",""
"passed","Mon May 16 18:08:24 CST 2022","Mon May 16 18:08:25 CST 2022","144","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_add[caseinfo4]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:07 CST 2022","142","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_add[caseinfo1]",""
"passed","Tue May 17 11:14:06 CST 2022","Tue May 17 11:14:06 CST 2022","293","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_update[caseinfo0]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:07 CST 2022","141","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_list[caseinfo0]",""
"passed","Tue May 17 11:14:05 CST 2022","Tue May 17 11:14:05 CST 2022","146","test_case.test_admin","admin_rider_add_test","","","","test_admin_rider_add[caseinfo1]",""
"passed","Tue May 17 11:14:07 CST 2022","Tue May 17 11:14:08 CST 2022","280","test_case.test_admin","admin_wallet_add_test","","","","test_admin_wallet_edit[caseinfo0]",""
"passed","Mon May 16 15:38:46 CST 2022","Mon May 16 15:38:47 CST 2022","1137","test_case.test_admin","admin_wallet_add_test","","","","test_adminlogin[caseinfo0]",""
"passed","Tue May 17 16:27:20 CST 2022","Tue May 17 16:27:20 CST 2022","135","test_case.test_rider","login_test","Testlogin","","","test_login[caseinfo0]",""
